date,date,filing_date,currency_symbol,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow
2019-06-30,2019-06-30,2019-07-31,USD,30120000000.00,-5260000000.00,27502000000.00,-5026000000.00,-26804000000.00,-5203000000.00,10044000000.00,12334000000.00,39817000000.00,52151000000.00,11636000000.00,,2933000000.00,-298000000.00,3629000000.00,1502000000.00,-214000000.00,-16955000000.00,-1195000000.00,1457000000.00,2000000000.00,-214000000.00,1174000000.00,,12334000000.00,-2798000000.00,1496000000.00,-125000000.00,9636000000.00
2019-09-30,2019-09-30,2019-10-31,USD,2802000000.00,21934000000.00,-798000000.00,-293000000.00,-21039000000.00,-6319000000.00,13686000000.00,-1927000000.00,52151000000.00,50224000000.00,19910000000.00,,3179000000.00,-810000000.00,3479000000.00,-785000000.00,-19320000000.00,-17444000000.00,-213000000.00,885000000.00,2777000000.00,-19320000000.00,331000000.00,,-1927000000.00,2160000000.00,1499000000.00,-312000000.00,17133000000.00
2019-12-31,2019-12-31,2020-01-29,USD,-10473000000.00,4425000000.00,-13668000000.00,231000000.00,-25407000000.00,2362000000.00,22236000000.00,-8559000000.00,50224000000.00,41665000000.00,30516000000.00,,2816000000.00,-207000000.00,3539000000.00,-28000000.00,5917000000.00,-20706000000.00,-1395000000.00,1219000000.00,2107000000.00,5917000000.00,-6069000000.00,,-8559000000.00,4245000000.00,1710000000.00,-142000000.00,28409000000.00
2020-03-31,2020-03-31,2020-05-01,USD,11338000000.00,-10445000000.00,9013000000.00,803000000.00,-20940000000.00,4195000000.00,11249000000.00,1384000000.00,41665000000.00,43049000000.00,13311000000.00,,2786000000.00,-365000000.00,3375000000.00,727000000.00,9290000000.00,-18574000000.00,2334000000.00,1278000000.00,1853000000.00,9290000000.00,-1574000000.00,,1384000000.00,-2002000000.00,1697000000.00,-117000000.00,11458000000.00
2020-06-30,2020-06-30,2020-07-31,USD,-2998000000.00,-900000000.00,-5165000000.00,2168000000.00,-19116000000.00,-765000000.00,11253000000.00,-8010000000.00,43049000000.00,35039000000.00,16271000000.00,,2752000000.00,-269000000.00,3656000000.00,-689000000.00,-1373000000.00,-15891000000.00,872000000.00,2696000000.00,1565000000.00,-1373000000.00,2532000000.00,,-8010000000.00,-430000000.00,1698000000.00,165000000.00,14706000000.00
2020-09-30,2020-09-30,2020-10-30,USD,7468000000.00,11774000000.00,5531000000.00,-703000000.00,-21357000000.00,-4911000000.00,12673000000.00,4750000000.00,35039000000.00,39789000000.00,20576000000.00,,2702000000.00,-102000000.00,3511000000.00,-137000000.00,-5364000000.00,-17187000000.00,-5571000000.00,1324000000.00,1784000000.00,-5364000000.00,-2396000000.00,,4750000000.00,3877000000.00,1724000000.00,-3000000.00,18792000000.00
2020-12-31,2020-12-31,2021-01-28,USD,-8584000000.00,29629000000.00,-8584000000.00,-978000000.00,-32249000000.00,-5761000000.00,28755000000.00,-2070000000.00,39789000000.00,37719000000.00,38763000000.00,0.00,2666000000.00,195000000.00,3613000000.00,-950000000.00,-10945000000.00,-24775000000.00,-2861000000.00,1987000000.00,3500000000.00,-21139000000.00,-2185000000.00,,-2070000000.00,5355000000.00,2020000000.00,25000000.00,35263000000.00
2021-03-31,2021-03-31,2021-04-29,USD,-10368000000.00,-23366000000.00,-10368000000.00,10423000000.00,-11326000000.00,11265000000.00,23630000000.00,2287000000.00,37719000000.00,40006000000.00,23981000000.00,561000000.00,2797000000.00,-204000000.00,3447000000.00,-276000000.00,8598000000.00,-18548000000.00,13608000000.00,1333000000.00,2269000000.00,25584000000.00,-506000000.00,,2287000000.00,-3779000000.00,1981000000.00,-499000000.00,21712000000.00
2021-06-30,2021-06-30,2021-07-28,USD,3572000000.00,307000000.00,3572000000.00,3220000000.00,-29396000000.00,-6048000000.00,21744000000.00,-4730000000.00,40006000000.00,35276000000.00,21094000000.00,0.00,2832000000.00,-78000000.00,3767000000.00,13000000.00,1031000000.00,-22900000000.00,271000000.00,1215000000.00,2093000000.00,-869000000.00,-1470000000.00,,-4730000000.00,-4697000000.00,1960000000.00,-215000000.00,19001000000.00
2021-09-30,2021-09-30,2021-10-29,USD,835000000.00,14050000000.00,835000000.00,3220000000.00,-20382000000.00,-5602000000.00,20551000000.00,653000000.00,35276000000.00,35929000000.00,20200000000.00,544000000.00,2989000000.00,-530000000.00,3640000000.00,-1429000000.00,-8809000000.00,-19748000000.00,3712000000.00,-1550000000.00,3223000000.00,-17604000000.00,-2205000000.00,,653000000.00,-1790000000.00,1945000000.00,542000000.00,16977000000.00
2021-12-31,2021-12-31,2022-01-28,USD,-12929000000.00,20275000000.00,-16106000000.00,-1000000000.00,-28159000000.00,-10497000000.00,34630000000.00,2701000000.00,35929000000.00,38630000000.00,46966000000.00,,2697000000.00,-374000000.00,3732000000.00,681000000.00,-3934000000.00,-20478000000.00,-2949000000.00,3114000000.00,2803000000.00,-13746000000.00,-4459000000.00,,2701000000.00,6525000000.00,2265000000.00,167000000.00,44163000000.00
2022-03-31,2022-03-31,2022-04-29,USD,-6390000000.00,-23911000000.00,-9265000000.00,-1751000000.00,-28351000000.00,9486000000.00,25010000000.00,-9450000000.00,38630000000.00,29180000000.00,28166000000.00,,2737000000.00,-361000000.00,3595000000.00,384000000.00,9476000000.00,-22631000000.00,1625000000.00,2471000000.00,2514000000.00,19931000000.00,1544000000.00,,-9450000000.00,-2052000000.00,2252000000.00,-187000000.00,25652000000.00
2022-06-30,2022-06-30,2022-07-29,USD,6953000000.00,-6260000000.00,4234000000.00,971000000.00,-27445000000.00,2497000000.00,19442000000.00,-319000000.00,29180000000.00,28861000000.00,22892000000.00,,2805000000.00,-617000000.00,3811000000.00,-16000000.00,-981000000.00,-21865000000.00,1231000000.00,3870000000.00,2102000000.00,3165000000.00,-114000000.00,,-319000000.00,-3225000000.00,2243000000.00,-41000000.00,20790000000.00
2022-09-30,2022-09-30,2022-10-28,USD,2806000000.00,15774000000.00,-1217000000.00,1657000000.00,-26794000000.00,-9873000000.00,20721000000.00,-3884000000.00,28861000000.00,24977000000.00,24127000000.00,,2865000000.00,-597000000.00,3703000000.00,435000000.00,-6384000000.00,-24428000000.00,4130000000.00,589000000.00,3289000000.00,-18693000000.00,-2992000000.00,,-3884000000.00,-48000000.00,2278000000.00,172000000.00,20838000000.00
2022-12-31,2022-12-31,2023-02-03,USD,-1445000000.00,-2317000000.00,-1445000000.00,-9615000000.00,-35563000000.00,-1648000000.00,29998000000.00,-3003000000.00,24977000000.00,21974000000.00,34005000000.00,,2916000000.00,-141000000.00,3768000000.00,-1807000000.00,4275000000.00,-19475000000.00,-2705000000.00,2588000000.00,3787000000.00,6595000000.00,-3968000000.00,,-3003000000.00,-1497000000.00,2905000000.00,-317000000.00,30218000000.00
2023-03-31,2023-03-31,2023-05-05,USD,2319000000.00,-16690000000.00,2319000000.00,-1996000000.00,-25724000000.00,12341000000.00,24160000000.00,5155000000.00,21974000000.00,27129000000.00,28560000000.00,,2898000000.00,-106000000.00,3650000000.00,-741000000.00,5321000000.00,-19594000000.00,3484000000.00,1271000000.00,2916000000.00,17786000000.00,-124000000.00,,5155000000.00,231000000.00,2686000000.00,-1415000000.00,25644000000.00
2023-06-30,2023-06-30,2023-08-04,USD,437000000.00,5203000000.00,437000000.00,-283000000.00,-24048000000.00,-2445000000.00,19881000000.00,2769000000.00,27129000000.00,29898000000.00,26380000000.00,,3052000000.00,-506000000.00,3849000000.00,-22000000.00,-1987000000.00,-17478000000.00,-2438000000.00,2698000000.00,2093000000.00,-3661000000.00,-771000000.00,,2769000000.00,749000000.00,2617000000.00,3447000000.00,24287000000.00
2023-09-30,2023-09-30,2023-11-03,USD,2394000000.00,,3705000000.00,,-23153000000.00,,22956000000.00,839000000.00,29898000000.00,30737000000.00,21598000000.00,,2653000000.00,14664000000.00,3758000000.00,952000000.00,-9297000000.00,-21003000000.00,1608000000.00,,2163000000.00,-21137000000.00,,,839000000.00,-6060000000.00,2625000000.00,-576000000.00,19435000000.00
2023-12-31,2023-12-31,2024-02-02,USD,1927000000.00,,,,-30585000000.00,,33916000000.00,11237000000.00,30737000000.00,41974000000.00,39895000000.00,,2848000000.00,-284000000.00,3825000000.00,-137000000.00,11124000000.00,-20139000000.00,-2637000000.00,,2392000000.00,,,,,1123000000.00,2997000000.00,-989000000.00,37503000000.00
2024-03-31,2024-03-31,2024-05-03,USD,-310000000.00,,,,-30433000000.00,,23636000000.00,-8053000000.00,41974000000.00,33921000000.00,22690000000.00,,2836000000.00,-445000000.00,3710000000.00,190000000.00,8767000000.00,-23205000000.00,-370000000.00,,1996000000.00,,,,,-5764000000.00,2964000000.00,-982000000.00,20694000000.00
2024-06-30,2024-06-30,2024-08-02,USD,-127000000.00,,,,-36017000000.00,,21448000000.00,-7286000000.00,33921000000.00,26635000000.00,28858000000.00,,2850000000.00,-388000000.00,-3895000000.00,-12000000.00,-2094000000.00,-26522000000.00,-2347000000.00,,2151000000.00,,,,,1684000000.00,2869000000.00,7000000.00,26707000000.00
2024-09-30,2024-09-30,2024-11-01,USD,1445000000.00,,,,-24948000000.00,,14736000000.00,3308000000.00,26635000000.00,29943000000.00,26811000000.00,,2911000000.00,-191000000.00,-3804000000.00,-1087000000.00,-22941000000.00,-25083000000.00,-448000000.00,,2908000000.00,,,,,6608000000.00,2858000000.00,-302000000.00,23903000000.00
2024-12-31,2024-12-31,2025-01-31,USD,9792000000.00,,,,-39371000000.00,,36330000000.00,356000000.00,29943000000.00,30299000000.00,29935000000.00,,3080000000.00,-603000000.00,-3856000000.00,215000000.00,6763000000.00,-23606000000.00,-2956000000.00,,2940000000.00,,,,,-10752000000.00,3286000000.00,-2009000000.00,26995000000.00
2025-03-31,2025-03-31,2025-05-02,USD,2917000000.00,,,,-29006000000.00,,24780000000.00,-2137000000.00,30299000000.00,28162000000.00,23952000000.00,,2661000000.00,-32000000.00,-3758000000.00,643000000.00,9674000000.00,-25898000000.00,7626000000.00,,3071000000.00,,,,,-6507000000.00,3226000000.00,-208000000.00,20881000000.00
